,0,1,2,3,4,5,6,7,8
0,,,,DESCRIPTION OF GOODS.,,,,,
1,Pallet No.,SM100T,Width (MM),Roll No., Pallet Dimension,Length(Mtr.),Joint,Gross Wt.,Net Wt.
2,19,SM100T,720,M10 21P3032935,,24000,,293.800,289.700
3,,SM100T,720,F10 21P3032938,,24000,,293.200,289.100
4,,,,,,,PALLET WT,48.500,
5,20,SM100T,720,M10 21P3031869,,24000,Total:,635.500,578.800
6,20,SM100T,720,M10 21P3032926,,24000,,292.800,288.700
7,,SM100T,720,M10 21P3032926,,24000,,293.600,289.500
8,,,,,,,PALLET WT,48.500,
9,21,SM100T,720,M10 21P3031860,,,Total:,634.900,578.200
10,21,SM100T,720,F1021P3032929,,24000,,294.200,290.100
11,,SM100T,720,F1021P3032929,,24000,,292.000,287.900
12,,,,,,,PALLETWT,48.500,
13,22,SM100T,720,,,,Total:,634.700,578.000
14,22,SM100T,720,D10 21P3034901,,24000,,286.200,282.100
15,,SM100T,720,D10 21P3034901,,24000,,293.400,289.300
16,,,,,,,PALLETWT,48.500,
17,23,SM100T,750,F10 21P3034902,,,Total:,628.100,571.400
18,23,SM100T,750,F10 21P3034902,,24000,,305.200,300.900
19,,SM100T,750,E10 21P3034907,,24000,,304.200,299.900
20,,,,,,,PALLET WT,49.500,
21,24,SM100T,750,H10 21P3034658,,,Total:,658.900,600.800
22,24,SM100T,750,Y10 21P3034659,,24000,,305.000,300.700
23,,SM100T,750,Y10 21P3034659,,24000,,303.600,299.300
24,,,,,,,PALLETWT,49.500,
25,,SM100T,1385,,,,Total:,658.100,600.000
26,,SM100T,1385,G10 21P3034652,,24000,,566.000,558.100
27,,SM100T,1385,I10 21P3034862,,24000,,564.000,556.100
28,,,,,,,PALLET WT,65.800,
29,26,SM100T,650,E10 21P3034640,,24000,Total:,264.800,261.100
30,,SM100T,650,E10 21P3034860,,24000,,263.800,260.100
31,,,,,,,PALLETWT,47.500,
32,27,SM100T,650,D10 21P3034854,,24000,Total:,264.600,260.900
33,,SM100T,650,F1021P3034913,,24000,,263.800,260.100
34,,,,,,,PALLETWT,47.500,
35,28,SM100T,620,M10 21P3033595,,,Total:,575.900,521.000
36,28,SM100T,620,M10 21P3033595,,24000,,253.400,249.900
37,,SM100T,620,M10 21P3033604,,24000,,251.800,248.300
38,,,,,,,PALLET WT,47.000,
39,,SM100T,700,F10 21P3034855,,,Total:,552.200,498.200
40,29,SM100T,700,F10 21P3034855,,24000,,280.000,276.000
41,,SM100T,700,A10 21P3034905,,24000,,286.600,282.600
42,,,,,,,PALLETWT,48.000,
43,30,SM100T,700,F10 21P3034558,,24000,Total:,614.600,558.600
44,30,SM100T,700,F10 21P3034646,,24000,,289.300,285.300
45,,SM100T,700,F10 21P3034646,,24000,,285.600,281.600
46,,,,,,,PALLETWT,48.000,
47,,SM100T,700,,,,Total:,622.900,566.900
48,31,SM100T,700,F10 21P3034569,,24000,,284.600,280.600
49,,SM100T,700,F10 21P3034657,,24000,,284.800,280.800
50,,,,,,,PALLETWT,48.000,
51,,,,,,,,Signature & Date,
52,,,,,,,,SMLFILMS LIMITED,
53,Declaration:,Declaration:,,,,SURAT,,,
54,,,,And all the information in the relevant document is true & correct,,,,(Authorised Signatory)Page 3 of 7,(Authorised Signatory)Page 3 of 7
